c_Order_Priority,h_Order_Priority,l_Order_Priority,m_Order_Priority,n_Order_Priority,Order_Quantity,Sales,Target
1,0,0,0,0,48,538.22,0
0,0,0,1,0,23,144.55,0
1,0,0,0,0,21,848.2,1
0,0,0,0,1,7,2039.56,0
0,0,1,0,0,20,173.09,0
0,0,1,0,0,31,983.78,1
1,0,0,0,0,22,127.33,1
0,0,0,0,1,8,300.2,1
0,1,0,0,0,30,4965.7595,1
0,0,1,0,0,21,1222.68,1
0,0,1,0,0,26,3758.77,1
0,1,0,0,0,30,201.35,0
0,0,1,0,0,11,178.57,0
0,0,0,0,1,5,28.32,0
0,1,0,0,0,16,92.06,1
0,0,0,0,1,39,223.79,0
0,0,0,1,0,15,81.66,0
1,0,0,0,0,10,155.45,0
0,0,0,1,0,26,363.16,1
0,1,0,0,0,49,6175.777,1
0,1,0,0,0,25,945.36,1
1,0,0,0,0,25,397.84,0
0,0,0,0,1,27,566.12,0
1,0,0,0,0,37,2756.17,0
0,0,0,1,0,50,751.77,1
0,0,0,0,1,34,245.4,0
1,0,0,0,0,5,2543.95,0
0,0,1,0,0,32,4800.44,1
0,0,0,1,0,16,2232.66,0
0,1,0,0,0,28,4479.16,1
0,0,1,0,0,17,114.28,0
0,0,0,1,0,7,263.8,1
0,0,0,0,1,36,407.17,0
0,0,0,1,0,22,482.37,1
0,1,0,0,0,18,1038.4,1
0,0,0,0,1,19,12616.2,1
0,0,1,0,0,27,1541.781,1
1,0,0,0,0,30,201.09,0
0,1,0,0,0,46,648.26,1
0,0,0,1,0,9,50.93,0
0,1,0,0,0,13,34.42,1
1,0,0,0,0,19,368.04,1
0,0,0,0,1,16,2744.361,1
0,1,0,0,0,49,8223.07,1
0,0,0,1,0,32,2564.45,1
0,1,0,0,0,49,465.83,0
0,1,0,0,0,15,896.1805,1
0,0,0,1,0,7,83.81,1
1,0,0,0,0,20,2634.8555,1
0,0,1,0,0,42,2149.37,1
0,0,0,1,0,15,150.33,0
0,0,0,0,1,39,3401.8,0
0,1,0,0,0,15,73.41,0
0,0,0,1,0,29,843.55,1
0,0,1,0,0,42,1681.6,1
0,0,0,1,0,7,23.84,1
0,0,1,0,0,8,254.32,0
1,0,0,0,0,8,52.39,0
0,0,1,0,0,40,255.48,0
0,0,0,1,0,21,7512.03,1
0,1,0,0,0,23,249.64,0
0,1,0,0,0,27,188.07,0
1,0,0,0,0,31,341.71,1
0,0,0,0,1,1,18.92,0
0,0,0,0,1,44,4263.9315,1
0,0,0,0,1,32,824.24,0
